CONTRACT_NUMBER,FISCAL_YEAR,AUDITOR_TYPE_CD,AUDITOR_TYPE_DES,INSTITUTION_CODE,INSTITUTION_CODE_DESCRIPTION,ELEGIBILITY_CODE,ELEGIBILITY_DESCRIPTION,AUDIT_TYPE,PRODUCT_STATUS_CODE,PRODUCT_STATUS_CODE_DES,OPINION_CODE,OPINION_CODE_DESCRIPTION,AUDIT_HOURS,AUDIT_COST,AUDIT_COST_CURRENCY,OBSERVATION_DESCRIPTION,DUE_DATE,DOCUMENT1,DOCUMENT2,DOCUMENT3,DOCUMENT4,DOCUMENT5,DOCUMENT6,DOCUMENT7,DOCUMENT8,DOCUMENT9,DOCUMENT10
2057/BL-BO,2013,IAF,EXTERNAL AUDITORS,BO-BERTHIN.AMENGUAL,BDO- BERTHIN AMENGUAL Y ASOCIADOS SRL,ELG,Eligibility II,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",EL INFORME NO REVELA OBSERVACIONES QUE AFECTEN LA EJECUCIÓN DE LA OPERACIÓN,2014-04-30 00:00:00,,,,,,,,,,
2057/BL-BO,2014,IAF,EXTERNAL AUDITORS,BO-BERTHIN.AMENGUAL,BDO- BERTHIN AMENGUAL Y ASOCIADOS SRL,ELG,Eligibility II,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"","EL AUDITOR HA REPORTADO GASTOS OBSERVADOS POR USD2.757.342, DE LOS CUALES USD2.533.344 CORRESPONDEN AL FINANCIAMIENTO DEL BANCO. ASIMISMO, SE ADVIERTE SOBRE LA PROBABILIDAD DE QUE ELPROYECTO ?CONSTRUCCIÓN PRESA CHIAR JOQHO-CORPAPUTO?",2015-04-30 00:00:00,,,,,,,,,,
1465/OC-AR,2009,IAF,EXTERNAL AUDITORS,AR-GTI,"ADLER, HASENCLEVER & ASOCIADOS GRANT THORNTON = NOMBRE FANTASIA",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",NO HAY COMENTARIOS PARA DESTACAR,2010-04-30 00:00:00,,,,,,,,,,
1679/SF-NI,2011,IAF,EXTERNAL AUDITORS,NI-GTI,"GRANT THORTON HERNANDEZ & ASOCIADOS, S.A",ELG+,Eligibility I,EXECUTOR,ANY,ANALYZED,QOP,Salvedades - Qualified,0,0.00,"","OPINIÓN CALIFICADA POR ASUNTO DEL MÉTODO DE REGISTRO, GUIA DE REVISIÓN IDBDOCS 36863594",2012-04-30 00:00:00,,,,,,,,,,
1194/OP-DR,2013,IAF,EXTERNAL AUDITORS,DR-EY,ERNST & YOUNG S.A.,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"","LOS EFAS REFLEJAN RAZONABLEMENTE TODOS LOS ASPECTOS FINANCIEROS Y CONTABLES, Y NO SE DETECTARON DEFICIENCIAS EN EL CONTROL INTERNO DEL PROGRAMA.",2014-04-30 00:00:00,,,,,,,,,,
1194/OP-DR,2014,IAF,EXTERNAL AUDITORS,DR-EY,ERNST & YOUNG S.A.,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"","LOS EFAS REFLEJAN RAZONABLEMENTE TODOS LOS ASPECTOS FINANCIEROS Y CONTABLES, Y NO SE DETECTARON DEFICIENCIAS EN EL CONTROL INTERNO DEL PROGRAMA.
IDBDOC#39602526",2015-04-30 00:00:00,,,,,,,,,,
1059/SF-HO,2007,IAF,EXTERNAL AUDITORS,HO-KPMG,"KPMG,S. DE R.L.",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,,"NO OBSTANTE LA OPINIÓN LIMPIA, SE SOLICITO LA PRESENTACIÓN DE UN PLAN DE ACCIÓN YA QUE EXISTEN OBSERVACIONES DE C.I Y EL 2008 ES EL AÑO DE CIERRE. AL AUDITOR SE LE PIDIÓ LA CORRECCIÓN DE PARTES DEL INFORME.",2008-04-30 00:00:00,,,,,,,,,,
1202/OC-CO,2009,IAF,EXTERNAL AUDITORS,CO-CONTRALORIA,CONTRALORIA GENERAL DE LA REPUBLICA,NE,Not Eligible,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,0,0.00,"","EFA GUIA 151498
EFA           151499",2010-04-30 00:00:00,,,,,,,,,,
1618/OC-ME,2007,IAF,EXTERNAL AUDITORS,ME-BDO,BDO CASTILLO MIRANDA & CIA.,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,2502,106630.76,,"ATRASOS EN LA PRESENTACION DE EFA 2007 SE DEBE A CONSULTAS Y  ATRASOS EN LA SELECCION DEL AUDITOR.LA AUDITORÍA COSTÓ $ 1121,928.50, DE ACUERDO A LA PROPUESTA DE SERVICIOS PRESENTADA POR LA FIRMA DE AUDITORES EXTERNOS.",2008-04-30 00:00:00,,,,,,,,,,
SP/ES-10-11-EC,2012,IAF,EXTERNAL AUDITORS,EC-MORAN,CONSULTORES MORÁN CEDILLO CÍA. LTDA.,ELG,Eligibility II,EXECUTOR,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",CAN/CEC-1017/2013. DEBILIDADES DE CONTROL INTERNO EN EL MANEJO DE DOCUMENTOS DE SOPORTE DE LOS MICROCREDITOS OTORGADOS REQUIEREN PLAN DE ACCION POR DE LA ADMIN. DE FACES; ASI COMO SEGUIMIENTO A LOS TERMINOS DE PAGO DE LOS MICROCREDITOS.,2013-04-30 00:00:00,,,,,,,,,,
SP/ES-10-11-EC,2013,IAF,EXTERNAL AUDITORS,EC-MORAN,CONSULTORES MORÁN CEDILLO CÍA. LTDA.,ELG,Eligibility II,EXECUTOR,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",SE REGISTRÓ CUMPLIMIENTO CONTRACTUAL EN OPMAS,2014-04-30 00:00:00,,,,,,,,,,
1686/OC-VE-1,2010,IAF,EXTERNAL AUDITORS,VE-DELOITTE,LARA MARAMBIO & ASOCIADOS MIEMBROS DE DELOITTE TOUCHE TOMAHATSU,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,350,14664.00,"","SE HA EXTENDIDO EL PLAZO PARA LA ENTREGA DE LOS EFA'S A SOLICITUD DEL EJECUTOR, DEBIDO A LA FUSIÓN EDELCA-CORPOELEC.",2011-12-15 00:00:00,,,,,,,,,,
1961/OC-BR,2010,IAF,EXTERNAL AUDITORS,BR-TBPR,TRIBUNAL DE CONTAS PARANA,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",CUMPRIDA,2011-04-30 00:00:00,,,,,,,,,,
1961/OC-BR,2011,IAF,EXTERNAL AUDITORS,BR-TBPR,TRIBUNAL DE CONTAS PARANA,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,420,0.00,"",DAR CUMPRIMENTO NA CLAUSULA 7.03 (A)(III),2012-06-30 00:00:00,,,,,,,,,,
1434/OC-UR,2010,IAF,EXTERNAL AUDITORS,UR-TC,TRIBUNAL DE CUENTAS - SAI,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",APROBACION DE EFAS FINALES CUR-PDP-722/2011,2011-04-30 00:00:00,,,,,,,,,,
1687/OC-VE,2009,NULL,,NULL,,NULL,,PROJECT,WA,WAIVED,NULL,"",0,0.00,"",DISPENSA APROBADA DEBIDO A QUE DURANTE EL AÑO 2009 LA ÚNICA TRANSACCIÓN FINANCIERA DE DESEMBOLSO FUE AQUELLA RELATIVA AL ESTABLECIMIENTO DEL FONDO ROTATORIO.,2010-04-30 00:00:00,,,,,,,,,,
1687/OC-VE,2010,IAF,EXTERNAL AUDITORS,VE-GTI,"GOMEZ, GARNIER Y ASOCIADOS GRANT THORNTON",ELG,Eligibility II,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,164,8812.00,"","CON SALVEDADES, REFERENTES A GASTOS POR US$152,000 SIN DOCUMENTACIÓN DE SOPORTE.  CVE SE REUNIRÁ CON EL OE Y FAI A CONCORDAR PLAN DE ACCIÓN PARA MITIGAR SALVEDADES.",2011-04-30 00:00:00,,,,,,,,,,
1687/OC-VE,2011,IAF,EXTERNAL AUDITORS,VE-HI,"MÁRQUEZ, PERDOMO Y ASOCIADOS REPRESENTANTE DE CROWE HORWATH",ELG,Eligibility II,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,260,32078.43,"","ESTADOS FINANCIEROS CALIFICADOS. HALLAZGOS DE CI DE AÑOS ANTERIORES PARCIALMENTE SOLVENTADOS.  SE SOLICITÓ AL OE PLAN DE ACCIÓN PARA MITIGAR HALLAZGOS CON RESPONSABLES, FECHAS Y COSTOS. PROGRAMA CON RIESGOS FIDUCIARIOS MEDIOS.",2012-07-30 00:00:00,,,,,,,,,,
1687/OC-VE,2012,IAF,EXTERNAL AUDITORS,VE-HI,"MÁRQUEZ, PERDOMO Y ASOCIADOS REPRESENTANTE DE CROWE HORWATH",ELG,Eligibility II,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,550,32311.00,"",CON 55 HALLAZGOS DE CONTROL INTERNO CUYA MITIGACION EL BANCO DEBERA MONITOREAR DE CERCA CON EL EJECUTOR.  PROYECTO CONSIDERADO DE RIESGO FIDUCIARIO ALTO POR LA INEXISTENCIA DE UN SISTEMA DE CONTROL INTERNO.,2013-04-30 00:00:00,,,,,,,,,,
1687/OC-VE,2013,IAF,EXTERNAL AUDITORS,VE-HI,"MÁRQUEZ, PERDOMO Y ASOCIADOS REPRESENTANTE DE CROWE HORWATH",ELG,Eligibility II,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,0,0.00,"",EFAS CON DOS SALVEDADES RELACIONADAS AL AREA DE ADMINISTRACIÓN FINANCIERA Y CONTROL Y GESTIÓN DE ADQUISICIONES. MATRIZ DE ACCIÓN PARA SUBSANAR SALVEDADES Y HALLAZGOS DE CONTROL INTERNO COORDINADA CON EL OE.,2014-04-30 00:00:00,,,,,,,,,,
1831/OC-VE,2009,IAF,EXTERNAL AUDITORS,VE-DELOITTE,LARA MARAMBIO & ASOCIADOS MIEMBROS DE DELOITTE TOUCHE TOMAHATSU,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,830,42537.00,"",JEFE DE EQUIPO CONCEDIÓ PRORROGA POR 60 DÍAS AL 30 DE JUNIO,2010-07-31 00:00:00,,,,,,,,,,
1831/OC-VE,2011,IAF,EXTERNAL AUDITORS,VE-DELOITTE,LARA MARAMBIO & ASOCIADOS MIEMBROS DE DELOITTE TOUCHE TOMAHATSU,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,953,38483.20,"",OBSERVACIONES MENORES DE CONTROL INTERNO. EL OE INCLUYE PLAN DE ACCION PARA MITIGAR LOS POSIBLES EFECTOS DE DICHAS OBSERVACIONES.,2012-04-30 00:00:00,,,,,,,,,,
1831/OC-VE,2012,IAF,EXTERNAL AUDITORS,VE-DELOITTE,LARA MARAMBIO & ASOCIADOS MIEMBROS DE DELOITTE TOUCHE TOMAHATSU,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,611,22371.00,"",EFAS LIMPIOS.  INFORME DE CONTROL INTERNO SÓLO CON UNA PEQUEÑA OBSERVACIÓN EN CUANTO A LA CONTABILIACIÓN DE LA CONTRAPARTIDA LOCAL LO CUAL A LA FECHA HA SIDO SUBSANADO.,2013-04-30 00:00:00,,,,,,,,,,
1831/OC-VE,2013,IAF,EXTERNAL AUDITORS,VE-DELOITTE,LARA MARAMBIO & ASOCIADOS MIEMBROS DE DELOITTE TOUCHE TOMAHATSU,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,638,35495.00,"",EFAS LIMPIOS. SIN OBSERVACIONES,2014-04-30 00:00:00,,,,,,,,,,
2003/OC-BA,2015,IAF,EXTERNAL AUDITORS,BA-KPMG,KPMG PEAT MARWICK,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,422,0.00,"",LETTER TO THE PEU - CCB/CBA-1374/2015,2015-07-31 00:00:00,,,,,,,,,,
1049/OC-RG,2008,NULL,,NULL,,NULL,,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",ESTA OPERACION FUE TRANSFERIDA A CME RECIENTEMENTE,2019-01-31 00:00:00,,,,,,,,,,
1618/OC-ME,2009,IAF,EXTERNAL AUDITORS,ME-BDO,BDO CASTILLO MIRANDA & CIA.,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,102460.00,"",MISION 15/ABRIL/09 SOLICITA PRORR EFA 2008 P/ TERMINAR EJEC  ANTES DEL 19/JUL/09 Y PRESENTAR UN  EFA CON CIFRAS DE 2008 Y PARTE DE 2009.SEGUI 10/AGO/09.CTO AUDI MX1024601 TC10. SE SOLICITO INF. ADICIONAL AL EJEC DICTAMEN NO INCLUYE DESEM09.,2009-10-17 00:00:00,,,,,,,,,,
2063/OC-SU,2010,IAF,EXTERNAL AUDITORS,SU-DELOITTE,LUTCHMAN & CO - CORRESPONDENT,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,485,0.00,"","THE AUDITOR ADDRESSED MATERIAL WEAKNESSESS IN THE INTERNAL CONTROL SYSTEM, MAINLY CAUSED BY THE ABSENCE OF A WELL STAFFED PEU, AFTER THE PREVIOUS ONE WAS DISBANDED IN 2010 AND ONLY REPLACED IN 2011. AN ACTION PLAN WIL BE AGREED WITH THE PEU",2011-04-30 00:00:00,,,,,,,,,,
2063/OC-SU,2011,IAF,EXTERNAL AUDITORS,SU-DELOITTE,LUTCHMAN & CO - CORRESPONDENT,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,398,0.00,"",AUDITOR ISSUED DISCLAIMER OF OPINION.  BANK'S COMMENTS COMMUNICATED:IDB DOCS# 36901176. PEURESPONSE TO COMMENTS CONSIDERED SATISFACTORY. COMPLIANCE GRANTED TO AFS: IDBDOCS:37077649,2012-04-30 00:00:00,,,,,,,,,,
2063/OC-SU,2012,IAF,EXTERNAL AUDITORS,SU-PWC,TJONG A HUNG,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,4725.00,"","1ST NOTIFICATION LETTER SENT 2 MAY 2013(CSUDOCS # 37733653). AFS SUBM 15 JUNE, 2013. AUDITOR NOTED IC WEAKNESSES NOT CONSIDERED MATERIAL. RESOLUTION OF ISSUES ACCORDING TO APPROVED ACTION PLAN. CLAUSE SUBMISSION AFS FULFILLE",2013-04-30 00:00:00,,,,,,,,,,
2063/OC-SU,2013,IAF,EXTERNAL AUDITORS,SU-PWC,TJONG A HUNG,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,124,4725.00,"","MANAGEMENT LETTER ADDRESSES AND RECOMMENDS IMPROVEMENT INTERNAL CONTROL PROCEDURES. PEU REQUESTED TO IMPLEMENT RECOMMENDATIONS BEFORE JULY 1, 2014",2014-04-30 00:00:00,,,,,,,,,,
2063/OC-SU,2014,IAF,EXTERNAL AUDITORS,SU-PWC,TJONG A HUNG,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,123,4725.00,"",IDBDOCS#39852221 (AFS); 39852210(MANAGEMENT LETTER) AND 39853281 (REPRESENTATION LETTER),2015-04-30 00:00:00,,,,,,,,,,
SP/ES-08-12-DR,2010,IAF,EXTERNAL AUDITORS,DR-CAMPUSANO,CAMPUSANO Y ASOCIADOS SRL,ELG,Eligibility III,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"","NO OBSTANTE QUE LA OPINION ES LIMPIA, SE IDENTIFICARON ALGUNOS PROBLEMAS DE CONTROL INTERNO, PARA ELLO EL BANCO ESTA SOLICITANDO UN PLAN DE ACCION QUE LA UE DEBERA REMITIR A LA BREVEDAD POSIBLE.",2011-01-31 00:00:00,,,,,,,,,,
SP/ES-08-12-DR,2011,IAF,EXTERNAL AUDITORS,DR-CAMPUSANO,CAMPUSANO Y ASOCIADOS SRL,ELG,Eligibility III,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",EFA PRESENTA RAZONABLEMENTE LA SITUACION FINANCIERA DEL PROGRAMA ACORDE LA GUIA DE INFORMES FINANCIEROS Y AUDITORIA EXTERNA DEL BANCO Y NO EXISTEN  SITUACIONES DE CONTROL INTERNO QUE AFECTEN LOS OBJETIVOS DEL PROGRAMA.,2012-01-31 00:00:00,,,,,,,,,,
2095/OC-UR,2010,IAF,EXTERNAL AUDITORS,UR-TC,TRIBUNAL DE CUENTAS - SAI,ELG+,Eligibility I,EXECUTOR,REC,RECEIVED,CLE,Limpia - Unqualified,0,0.00,"","",2011-04-30 00:00:00,,,,,,,,,,
2095/OC-UR,2012,IAF,EXTERNAL AUDITORS,UR-TC,TRIBUNAL DE CUENTAS - SAI,ELG+,Eligibility I,EXECUTOR,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",CORRESPONDEN A LOS EFAS DE LA S.A. QUE EJECUTA LOS FONDOS DE CONTRAPARTIDA (INTENDENCIA DE CANELONES). ANALIZADOS LOS EFAS DEL CONSORCIO CANARIO CON COMENTARIOS MENORES DEL SCI. APROBACION NOTA FMP-1505/2013,2013-04-30 00:00:00,,,,,,,,,,
2095/OC-UR,2013,IAF,EXTERNAL AUDITORS,UR-TC,TRIBUNAL DE CUENTAS - SAI,ELG+,Eligibility I,EXECUTOR,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",CONSORCIO CANARIO- NOTA SISCOR DE SALIDA 752/2014,2014-04-30 00:00:00,,,,,,,,,,
1108/SF-RG,2011,IAF,EXTERNAL AUDITORS,BA-EY,ERNST & YOUNG,ELG+,Eligibility I,BORROWER,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",CCB/CBA 479/2011; CBADOCS#: 36224190,2011-06-30 00:00:00,,,,,,,,,,
1194/OP-DR,2015,IAF,EXTERNAL AUDITORS,DR-EY,ERNST & YOUNG S.A.,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",LOS EFAS REFLEJAN RAZONABLEMENTE TODOS LOS ASPECTOS FINANCIEROS Y CONTABLES DEL PROGRAMA. IDBDOC#40260937,2016-04-30 00:00:00,,,,,,,,,,
2102/BL-GY,2008,IAF,EXTERNAL AUDITORS,GY-AG,AUDITOR GENERAL,ELG,Eligibility II,PROJECT,WA,WAIVED,NULL,"",0,0.00,"",THERE WAS NO ACTIVITY FOR THIS OPERATION DURING 2008.,2009-04-30 00:00:00,,,,,,,,,,
2526/OC-CR,2012,NULL,,NULL,,NULL,,PROJECT,WA,WAIVED,NULL,"",0,0.00,"","SE DA DISPENSA DE PRESENTACIÓN DE EFAS 2012, POR CUANTO EL PROYECTO APENAS DESEMBOLSÓ EL PRIMER AVANCE DE FONDOS EL 14 DE DICIEMBRE Y EL EJECUTOR INIDCA QUE NO REALIZARÁ PAGOS O GASTOS EN EL 2012. SE DA RESPUESTA CON CID/CCR/2162/2012.",2013-04-30 00:00:00,,,,,,,,,,
2095/OC-UR,2009,NULL,,NULL,,NULL,,PROJECT,WA,WAIVED,NULL,"",0,0.00,"","SOLICITUD DE DISPENSA PARA EL PRIMER EJERCICIO CON CORTE AL 31/12/09. NOTA, 4035/2009",2010-04-30 00:00:00,,,,,,,,,,
2095/OC-UR,2010,IAF,EXTERNAL AUDITORS,UR-TC,TRIBUNAL DE CUENTAS - SAI,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",APROBACION EFAS POR NOTA CUR/PDP-1360/2011. SE SOLICITO PLAN DE ACCION PARA CUMPLIMIENTO DE LAS RECOMENDACIONES DE LOS AUDITORES EXTERNOS EN SU INFORME A LA ADMINISTRACION.,2011-04-30 00:00:00,,,,,,,,,,
2095/OC-UR,2011,IAF,EXTERNAL AUDITORS,UR-TC,TRIBUNAL DE CUENTAS - SAI,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"","EFAS PRESENTADOS 8/5/12
APROBACION EFAS POR NOTA CUR/FMP-959/2012. EL ANALISIS SE CONCLUYO UNA VEZ RECIBIDA LA INFO ADICIONAL SOLICITADA.",2012-04-30 00:00:00,,,,,,,,,,
2095/OC-UR,2012,IAF,EXTERNAL AUDITORS,UR-TC,TRIBUNAL DE CUENTAS - SAI,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",APROBACION EFAS POR NOTA CUR/FMP-952/2013,2013-04-30 00:00:00,,,,,,,,,,
2095/OC-UR,2013,IAF,EXTERNAL AUDITORS,UR-TC,TRIBUNAL DE CUENTAS - SAI,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",NOTA SISCOR DE SALIDA 665/2014,2014-04-30 00:00:00,,,,,,,,,,
2043/OC-ME,2009,IAF,EXTERNAL AUDITORS,ME-SALLES,"SALLES, SAINZ, GRANT THORNTON S.C.",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",PRESENTA INFORME DE ADQUISICIONES PARA CONSULTORIAS,2010-04-30 00:00:00,,,,,,,,,,
2043/OC-ME,2010,IAF,EXTERNAL AUDITORS,ME-SALLES,"SALLES, SAINZ, GRANT THORNTON S.C.",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",INFORMARON QUE SE ENVIARA CUADERNILLO EL 21 DE MAYO 2011,2011-04-30 00:00:00,,,,,,,,,,
2043/OC-ME,2011,IAF,EXTERNAL AUDITORS,ME-HAYEK,"DESPACHO MUNIR HAYEK,S.C.",NE,Not Eligible,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"","SE DA CUMPLIMIENTO, CON OBSERVACIONES DE FORMA",2012-04-30 00:00:00,,,,,,,,,,
2043/OC-ME,2013,IAF,EXTERNAL AUDITORS,ME-BDO,BDO CASTILLO MIRANDA & CIA.,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,75,1995.00,"",NO PUBLICA. APROBADO ANTES DE 2011,2014-01-30 00:00:00,,,,,,,,,,
1630/OC-EC,2010,IAF,EXTERNAL AUDITORS,EC-EY,ERNST & YOUNG,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,0,0.00,"",RESPUESTA EFAS 1309/2011.  EXTENSION PLAZO 02MAY11,2011-05-15 00:00:00,,,,,,,,,,
2526/OC-CR,2014,IAF,EXTERNAL AUDITORS,CR-KPMG,KPMG,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,0,0.00,"",PUBLICADO SISCOR 39655712,2015-04-30 00:00:00,,,,,,,,,,
2526/OC-CR,2015,IAF,EXTERNAL AUDITORS,CR-KPMG,KPMG,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,0,0.00,"",IDBDOCS# 41318388 Y 40318390,2016-04-30 00:00:00,,,,,,,,,,
2526/OC-CR,2016,IAF,EXTERNAL AUDITORS,CR-KPMG,KPMG,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,QOP,Salvedades - Qualified,0,0.00,"",CLÁUSULA DE CUMPLIMIENTO CID/CCR-589/2017,2017-04-30 00:00:00,,,,,,,,,,
2526/OC-CR,2017,IAF,EXTERNAL AUDITORS,CR-KPMG,KPMG,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"","INGRESO DE EFA: EZSHARE-1510880754-1145
CUMPLIMIENTO DE CLÁUSULA: EZSHARE-1510880754-1149 
PUBLICACIÓN DE EFA: EZSHARE-1264719914-262",2018-04-30 00:00:00,EZSHARE-1510880754-1145,EZSHARE-1510880754-1149,EZSHARE-1264719914-262,,,,,,,
1914/OC-AR,2009,IAF,EXTERNAL AUDITORS,AR-HI,"CANEPA, KOPEC Y ASOCIADOS-HORWATH INTL.",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",SE REMITE AL EJECUTOR NOTA CAR 3469/2010,2010-04-30 00:00:00,,,,,,,,,,
1914/OC-AR,2010,IAF,EXTERNAL AUDITORS,AR-HI,"CANEPA, KOPEC Y ASOCIADOS-HORWATH INTL.",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",SE REMITE AL EJECUTOR NOTA CAR 2969/11.,2011-04-30 00:00:00,,,,,,,,,,
1914/OC-AR,2011,IAF,EXTERNAL AUDITORS,AR-HI,"CANEPA, KOPEC Y ASOCIADOS-HORWATH INTL.",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",SE REMITE AL EJECUTOR NOTA CAR 2340/2012,2012-04-30 00:00:00,,,,,,,,,,
1914/OC-AR,2012,IAF,EXTERNAL AUDITORS,AR-HI,"CANEPA, KOPEC Y ASOCIADOS-HORWATH INTL.",ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",SE REMITE NOTA CAR 2266/2013.,2013-04-30 00:00:00,,,,,,,,,,
1308/OC-BR,2008,IAF,EXTERNAL AUDITORS,BR-DELOITTE,DELOITTE TOUCHE TOHMATSU (REVISORA NACIONAL),ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",CLÁUSULA CUMPRIDA,2009-04-30 00:00:00,,,,,,,,,,
1203/OC-ES,2009,IAF,EXTERNAL AUDITORS,ES-MORAN-MENDEZ,DELETE,ELG,Eligibility II,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,0,0.00,"",AF-320: CESDOCS 119653; CUMPLIMIENTO CES-1633/2009.,2010-04-30 00:00:00,,,,,,,,,,
1686/OC-VE-1,2010,IAF,EXTERNAL AUDITORS,VE-KPMG,"RODRIGUEZ, VELAZQUEZ & ASOCIADOS KPMG",ELG+,Eligibility I,EXECUTOR,ANY,ANALYZED,QOP,Salvedades - Qualified,0,0.00,"","EFAS CALIFICADOS, SE REALIZÓ UN INFORME QUE REFLEJA DICHA SITUACIÓN",2011-12-15 00:00:00,,,,,,,,,,
1686/OC-VE-1,2011,IAF,EXTERNAL AUDITORS,VE-DELOITTE,LARA MARAMBIO & ASOCIADOS MIEMBROS DE DELOITTE TOUCHE TOMAHATSU,ELG+,Eligibility I,PROJECT,ANY,ANALYZED,CLE,Limpia - Unqualified,839,3287249.00,"","EFAS EVIDENCIARON RETRASOS EN PAGO DE ANTICIPOS A LOS CONTRATISTAS, LO CUAL REDUNDA EN ENTREGA TARDÍA DE B Y S NECESARIOS PARA NORMAL EJECUCIÓN DE OBRAS, GENERÁNDOSE ASÍ SOBRECOSTOS INESPERADOS. SE RECOMIENDA SOLICITAR PLAN DE MITIGACION.",2012-07-30 00:00:00,,,,,,,,,,
